1,81
2,80
3,59
4,-4
5,55
6,112
7,66
8,65
9,79
10,25
11,51
12,48
13,108
14,126
15,17
16,82
17,116
18,57
19,125
20,34
21,67
22,99
23,81
24,69
25,112
26,105
27,133
28,42
29,66
30,110
31,92
32,93
33,18
34,112
35,78
36,128
37,98
38,69
39,65
40,36
41,131
42,128
43,120
44,82
45,37
46,123
47,52
48,107
49,112
50,137
51,37
52,124
53,133
54,24
55,108
56,91
57,120
58,66
59,61
60,17
61,21
62,118
63,118
64,140
65,44
66,119
67,38
68,130
69,131
70,49
71,45
72,56
73,71
74,69
75,35
76,128
77,69
78,55
79,103
80,7
81,123
82,125
83,59
84,102
85,108
86,125
87,103
88,108
89,108
90,98
91,92
92,119
93,103
94,30
95,75
96,91
97,87
98,109
99,66
100,120
101,135
102,60
103,88
104,97
105,72
106,32
107,77
108,85
109,67
110,62
111,91
112,132
113,114
114,117
115,86
116,86
117,86
118,86
119,76
120,73
121,128
122,80
123,111
124,105
125,122
126,73
127,67
128,122
129,83
130,70
131,86
132,93
133,47
134,30
135,125
136,103
137,21
138,113
139,121
140,117
141,55
142,104
143,112
144,102
145,130
146,74
147,112
148,104
149,107
150,78
151,80
152,86
153,92
154,118
155,126
156,82
157,55
158,81
159,116
160,108
161,79
162,91
163,115
164,130
165,121
166,56
167,73
168,108
169,108
170,96
171,102
172,89
173,81
174,86
175,95
176,114
177,102
178,37
179,101
180,127
181,68
182,76
183,93
184,114
185,131
186,39
187,78
188,130
189,111
190,84
191,80
192,97
193,114
194,127
195,60
196,124
197,99
198,29
199,100
200,65
201,58
202,129
203,70
204,63
205,92
206,58
207,63
208,73
209,62
210,77
211,33
212,150
213,44
214,38
215,57
216,67
217,128
218,132
219,79
220,89
221,86
222,90
223,101
224,72
225,125
226,80
227,92
228,101
229,65
230,113
231,60
232,83
233,95
234,108
235,91
236,91
237,85
238,114
239,97
240,127
241,127
242,0
243,121
244,113
245,20
246,99
247,83
248,81
249,73
250,56
251,127
252,47
253,113
254,71
255,141
256,18
257,51
258,65
259,68
260,29
261,94
262,83
263,84
264,111
265,64
266,91
267,89
268,115
269,109
270,63
271,79
272,98
273,56
274,106
275,123
276,128
277,125
278,20
279,116
280,128
281,0
282,127
283,135
284,37
285,62
286,34
287,138
288,148
289,60
290,8
291,60
292,132
293,104
294,126
295,138
296,4
297,123
298,-5
299,55
300,53
301,32
302,78
303,95
